"lN","se","lcl","ucl","trip","grid"
4.60987815523237,0.164585171776696,4.31748811353631,4.96284463025991,17,"egl MR2"
3.62444959466978,0.113213267695774,3.43398720448515,3.89182029811063,18,"egl MR2"
3.29189356972585,0.160313244807117,3.04452243772342,3.66356164612965,19,"egl MR2"
3.14833830156635,0.229398934535082,2.77258872223978,3.66356164612965,20,"egl MR2"
1.22342378412268,0.382183809794418,0.693147180559945,1.79175946922805,1,"hol M1"
1.30082836283817,0.375597946726553,0.693147180559945,1.79175946922805,2,"hol M1"
2.17648590881121,0.297024458931952,1.79175946922805,2.89037175789616,3,"hol M1"
2.22978227849959,0.334325914385832,1.6094379124341,2.83321334405622,4,"hol M1"
2.34384158119916,0.286938187563022,1.94591014905531,2.99573227355399,5,"hol M1"
3.13893993215436,0.287062152673835,2.56494935746154,3.58351893845611,6,"hol M1"
3.30266510649954,0.127089924753288,3.09104245335832,3.58351893845611,7,"hol M1"
2.75672840594817,0.237454555562188,2.39789527279837,3.3322045101752,8,"hol M1"
2.8492424525188,0.258882800794394,2.39789527279837,3.43398720448515,9,"hol M1"
1.72110502509985,0.338872458545938,1.09861228866811,2.19722457733622,10,"hol M1"
0.586154394378789,0.606776933735346,0,1.79175946922805,11,"hol M1"
0.660334825332487,0.622379206149577,0,1.79175946922805,12,"hol M1"
3.96217516318116,0.247615486430708,3.46573590279973,4.36944785246702,1,"hol M2"
3.51066382790405,0.281459418889355,2.99573227355399,4.00733318523247,2,"hol M2"
2.83434218655595,0.220313224684579,2.484906649788,3.36729582998647,3,"hol M2"
2.84230468408155,0.281141501939806,2.19722457733622,3.2188758248682,4,"hol M2"
4.40144348005329,0.206715140739792,3.95124371858143,4.70953020131233,5,"hol M2"
4.53003992709206,0.182707110951288,4.20469261939097,4.91998092582813,6,"hol M2"
3.80898580826639,0.169571428266202,3.52636052461616,4.18965474202643,7,"hol M2"
3.86610892922297,0.157038802750732,3.61091791264422,4.20469261939097,8,"hol M2"
3.73328588339958,0.19880098890876,3.40119738166216,4.17438726989564,9,"hol M2"
2.87860194986081,0.172605290622192,2.63905732961526,3.29583686600433,10,"hol M2"
0.619006214243897,0.608796069600874,0,1.79175946922805,11,"hol M2"
0.652836991991445,0.612163824276716,0,1.79175946922805,12,"hol M2"
0.696455830219152,0.62402322973963,0,1.79175946922805,13,"hol M2"
1.23037415454089,0.383777350768932,0.693147180559945,1.79175946922805,14,"hol M2"
2.21699902484144,0.332143404078791,1.6094379124341,2.83321334405622,15,"hol M2"
