"","grid","month","rat_abun","rat_sd","poss_abun","poss_sd","mouse_abun","mouse_sd","treat"
"66","Kaimai North East",16,51.3300666666667,5.00073226142255,80.8036666666667,5.99511323060141,1.01213333333333,0.109484769183668,"Stoat removal"
"67","Kaimai North East",19,29.9362,3.62775508183719,70.2176,5.51299160575239,1.3208,0.540654091932302,"Stoat removal"
"68","Kaimai North East",22,69.6204666666667,5.90962627366586,53.2935333333333,4.4471440260263,1.01353333333333,0.115546840258436,"Stoat removal"
"69","Kaimai North East",27,21.5637333333333,2.73876580198029,31.9838666666667,3.33247856854067,1.0112,0.105239243408643,"Stoat removal"
"70","Kaimai North East",31,26.5642,3.38275645434538,56.0246,4.2981266965435,1.0116,0.107080364276685,"Stoat removal"
"71","Kaimai North North",0,33.2815333333333,3.49266167288783,29.7008,3.35295325243795,6.9264,0.95574260983929,"Stoat removal"
"72","Kaimai North North",2,26.4147333333333,3.33978141074337,47.9224,4.11386758421237,8.69973333333333,1.34013419459876,"Stoat removal"
"73","Kaimai North North",5,50.3437333333333,5.00016474782474,45.0833333333333,4.08408711220246,7.417,1.22616389545875,"Stoat removal"
"74","Kaimai North North",8,17.1432,2.61545721963953,66.9153333333333,4.85262830044884,2.6132,0.758523203664001,"Stoat removal"
"75","Kaimai North North",11,NA,NA,NA,NA,NA,NA,"Stoat removal"
"76","Kaimai North North",16,33.1259333333333,3.78581073920577,52.7048666666667,4.27052441832102,1.32446666666667,0.544065972783698,"Stoat removal"
"77","Kaimai North North",19,29.3058,3.55556781646755,51.5444666666667,4.09473733473568,1.30866666666667,0.529096920981725,"Stoat removal"
"78","Kaimai North North",22,65.8766666666667,5.96681621542054,56.1114666666667,4.40444492808843,1.30513333333333,0.529067396188365,"Stoat removal"
"79","Kaimai North North",27,35.1942,3.8079547959478,38.8828666666667,3.0601150418179,2.61586666666667,0.768687826290475,"Stoat removal"
"80","Kaimai North North",31,18.6766666666667,2.68257375835599,44.5491333333333,3.0807064069279,1.01193333333333,0.108589663427153,"Stoat removal"
"81","Okopeka East",0,16.0316,2.39698097778306,54.8556,4.76849359952881,2.60866666666667,0.757427533598737,"Stoat removal"
"82","Okopeka East",2,9.4676,1.8470456622704,41.2526666666667,3.90474617507144,1.012,0.108888890400705,"Stoat removal"
"83","Okopeka East",5,9.4942,1.87141653300096,37.2017333333333,3.71409342391289,1.285,0.515292184172247,"Stoat removal"
"84","Okopeka East",8,7.97313333333333,1.4842815506737,73.402,5.67973121046306,1.01166666666667,0.107384003978756,"Stoat removal"
"85","Okopeka East",11,NA,NA,NA,NA,NA,NA,"Stoat removal"
"86","Okopeka East",16,34.7892,3.93355584055572,50.1041333333333,4.42235910643026,11.8488666666667,1.77601679738674,"Stoat removal"
"87","Okopeka East",19,46.9325333333333,4.827290658112,106.320333333333,7.17419109192182,5.2256,1.09403737040889,"Stoat removal"
"88","Okopeka East",22,33.5242666666667,3.80041760957346,77.7648666666667,5.73370479477279,10.3524666666667,1.61013666652696,"Stoat removal"
"89","Okopeka East",27,51.221,5.04259068813408,69.3653333333333,5.48730707404071,3.94666666666667,0.959383612890764,"Stoat removal"
"90","Okopeka East",31,35.3345333333333,4.02695524436576,49.3938,4.45180594048551,2.31706666666667,0.539896435840231,"Stoat removal"
"91","Okopeka West",0,50.5873333333333,5.09015718836223,15.7728666666667,2.3704117164892,8.95046666666667,1.47242124311513,"Stoat removal"
"92","Okopeka West",2,54.2754666666667,5.06285429526961,48.2297333333333,4.43967002980557,5.21553333333333,1.08993482041347,"Stoat removal"
"93","Okopeka West",5,41.8246,4.49669317646885,29.2035333333333,3.32145193930123,2.61846666666667,0.767596853313967,"Stoat removal"
"94","Okopeka West",8,10.5169333333333,1.86849654736423,35.5348,3.71705663942194,5.35106666666667,1.14678094507682,"Stoat removal"
"95","Okopeka West",11,NA,NA,NA,NA,NA,NA,"Stoat removal"
"96","Okopeka West",16,68.7816666666667,5.96056757196333,53.704,4.65532979208042,1.011,0.10430592176392,"Stoat removal"
"97","Okopeka West",19,74.6964666666667,6.60427452071903,62.7846666666667,5.18044599337434,6.26993333333333,1.11664040225196,"Stoat removal"
"98","Okopeka West",22,53.3558666666667,5.33015818601801,82.9582,5.97627814669792,6.34406666666667,1.20240641256092,"Stoat removal"
"99","Okopeka West",27,74.0924,6.3561746071865,58.1605333333333,4.89943833671676,3.80626666666667,0.90494308680431,"Stoat removal"
"100","Okopeka West",31,58.8823333333333,5.6636230745561,56.3666,4.82525543151158,1.01113333333333,0.104929100968086,"Stoat removal"
