"","mean.lam","grid","trip","transmice","rep.number"
"81",11.0917005035407,"hol M1",9,11.0917005035407,"hol M1"
"82",3.45257225864879,"hol M1",10,3.45257225864879,"hol M1"
"83",1.18764848960352,"hol M1",11,1.18764848960352,"hol M1"
"84",0.796357907751335,"hol M1",12,0.796357907751335,"hol M1"
"85",42.0589571286782,"hol M2",1,42.0589571286782,"hol M2"
"86",24.6744301344587,"hol M2",2,24.6744301344587,"hol M2"
"87",13.7018595376996,"hol M2",3,13.7018595376996,"hol M2"
"88",18.1239504932731,"hol M2",4,18.1239504932731,"hol M2"
"89",64.1415434638064,"hol M2",5,64.1415434638064,"hol M2"
"90",73.7897448874518,"hol M2",6,73.7897448874518,"hol M2"
"91",41.4565808695284,"hol M2",7,41.4565808695284,"hol M2"
"92",40.2547919220264,"hol M2",8,40.2547919220264,"hol M2"
"93",32.685094075577,"hol M2",9,32.685094075577,"hol M2"
"94",11.8769300284157,"hol M2",10,11.8769300284157,"hol M2"
"95",3.44043695949113,"hol M2",11,3.44043695949113,"hol M2"
"96",2.11301229243346,"hol M2",12,2.11301229243346,"hol M2"
"97",1.34087355287711,"hol M2",13,1.34087355287711,"hol M2"
"98",1.79357912751178,"hol M2",14,1.79357912751178,"hol M2"
"99",5.73815577365167,"hol M2",15,5.73815577365167,"hol M2"
"100",17.3405910395692,"hol M2",16,17.3405910395692,"hol M2"
"101",21.1363549841071,"hol M2",17,21.1363549841071,"hol M2"
"102",24.4040379175207,"hol M2",18,24.4040379175207,"hol M2"
"103",8.30910939234171,"hol M2",19,8.30910939234171,"hol M2"
"104",5.29742514715151,"hol M2",20,5.29742514715151,"hol M2"
"105",2.246327054186,"hol MR1",1,2.246327054186,"hol MR1"
"106",2.74827498660529,"hol MR1",2,2.74827498660529,"hol MR1"
"107",4.47935340206016,"hol MR1",3,4.47935340206016,"hol MR1"
"108",6.68923479767555,"hol MR1",4,6.68923479767555,"hol MR1"
"109",13.2926636061606,"hol MR1",5,13.2926636061606,"hol MR1"
"110",15.4589853970327,"hol MR1",6,15.4589853970327,"hol MR1"
"111",23.0096046796654,"hol MR1",7,23.0096046796654,"hol MR1"
"112",16.1861226998267,"hol MR1",8,16.1861226998267,"hol MR1"
"113",13.4255017466684,"hol MR1",9,13.4255017466684,"hol MR1"
"114",2.53586313968978,"hol MR1",10,2.53586313968978,"hol MR1"
"115",0.987142364883436,"hol MR1",11,0.987142364883436,"hol MR1"
"116",1.17180293106116,"hol MR1",12,1.17180293106116,"hol MR1"
"117",0.775037782358176,"hol MR1",13,0.775037782358176,"hol MR1"
"118",1.5422811095042,"hol MR1",14,1.5422811095042,"hol MR1"
"119",4.13836090578397,"hol MR1",15,4.13836090578397,"hol MR1"
"120",8.59518588756238,"hol MR1",16,8.59518588756238,"hol MR1"
"121",7.53011482500822,"hol MR1",17,7.53011482500822,"hol MR1"
"122",8.36892283993215,"hol MR1",18,8.36892283993215,"hol MR1"
"123",3.82949250534082,"hol MR1",19,3.82949250534082,"hol MR1"
"124",2.95892694291104,"hol MR1",20,2.95892694291104,"hol MR1"
"125",29.4315011278654,"hol MR2",1,29.4315011278654,"hol MR2"
"126",25.0046224055824,"hol MR2",2,25.0046224055824,"hol MR2"
"127",16.8721498078592,"hol MR2",3,16.8721498078592,"hol MR2"
"128",25.658985610185,"hol MR2",4,25.658985610185,"hol MR2"
"129",94.9065154283832,"hol MR2",5,94.9065154283832,"hol MR2"
"130",95.315230681735,"hol MR2",6,95.315230681735,"hol MR2"
"131",97.8116283101676,"hol MR2",7,97.8116283101676,"hol MR2"
"132",48.0058420390693,"hol MR2",8,48.0058420390693,"hol MR2"
"133",18.1618627674649,"hol MR2",9,18.1618627674649,"hol MR2"
"134",2.95377614587084,"hol MR2",10,2.95377614587084,"hol MR2"
"135",1.34049485666389,"hol MR2",11,1.34049485666389,"hol MR2"
"136",1.55290069515392,"hol MR2",12,1.55290069515392,"hol MR2"
"137",1.30907438999462,"hol MR2",13,1.30907438999462,"hol MR2"
"138",1.09415375893215,"hol MR2",14,1.09415375893215,"hol MR2"
"139",3.27021156596269,"hol MR2",15,3.27021156596269,"hol MR2"
"140",20.3504484343493,"hol MR2",16,20.3504484343493,"hol MR2"
"141",24.5735585146091,"hol MR2",17,24.5735585146091,"hol MR2"
"142",15.8487426767691,"hol MR2",18,15.8487426767691,"hol MR2"
"143",6.88626227260183,"hol MR2",19,6.88626227260183,"hol MR2"
"144",3.83874375391377,"hol MR2",20,3.83874375391377,"hol MR2"
